#    L    TT             EE             TE             PP             TP          
   199   0.558096E+04   0.666099E+00  -0.163346E+02   0.266169E+07   0.252789E+04
   200   0.559384E+04   0.664641E+00  -0.150873E+02   0.264854E+07   0.250749E+04
   201   0.560614E+04   0.664016E+00  -0.138179E+02   0.263550E+07   0.248726E+04
   202   0.561785E+04   0.664260E+00  -0.125271E+02   0.262255E+07   0.246718E+04
   203   0.562896E+04   0.665408E+00  -0.112150E+02   0.260971E+07   0.244727E+04
   204   0.563947E+04   0.667499E+00  -0.988213E+01   0.259696E+07   0.242752E+04
   205   0.564936E+04   0.670568E+00  -0.852903E+01   0.258432E+07   0.240793E+04
   206   0.565862E+04   0.674651E+00  -0.715602E+01   0.257177E+07   0.238850E+04
   207   0.566725E+04   0.679787E+00  -0.576348E+01   0.255932E+07   0.236922E+04
   208   0.567524E+04   0.686011E+00  -0.435201E+01   0.254697E+07   0.235010E+04
   209   0.568261E+04   0.693360E+00  -0.292215E+01   0.253471E+07   0.233112E+04
   210   0.568936E+04   0.701870E+00  -0.147445E+01   0.252255E+07   0.231231E+04
   211   0.569549E+04   0.711579E+00  -0.946497E-02   0.251048E+07   0.229364E+04
   212   0.570101E+04   0.722523E+00   0.147225E+01   0.249851E+07   0.227512E+04
   213   0.570592E+04   0.734737E+00   0.297013E+01   0.248663E+07   0.225675E+04
   214   0.571024E+04   0.748261E+00   0.448364E+01   0.247484E+07   0.223853E+04
   215   0.571395E+04   0.763123E+00   0.601217E+01   0.246314E+07   0.222045E+04
   216   0.571706E+04   0.779369E+00   0.755513E+01   0.245153E+07   0.220252E+04
   217   0.571955E+04   0.797027E+00   0.911192E+01   0.244001E+07   0.218473E+04
   218   0.572142E+04   0.816129E+00   0.106820E+02   0.242858E+07   0.216708E+04
   219   0.572268E+04   0.836719E+00   0.122647E+02   0.241724E+07   0.214957E+04
   220   0.572331E+04   0.858825E+00   0.138596E+02   0.240598E+07   0.213220E+04
   221   0.572331E+04   0.882478E+00   0.154658E+02   0.239481E+07   0.211497E+04
   222   0.572268E+04   0.907722E+00   0.170829E+02   0.238373E+07   0.209787E+04
   223   0.572143E+04   0.934580E+00   0.187102E+02   0.237273E+07   0.208091E+04
   224   0.571955E+04   0.963088E+00   0.203470E+02   0.236181E+07   0.206409E+04
   225   0.571705E+04   0.993269E+00   0.219926E+02   0.235098E+07   0.204740E+04
   226   0.571392E+04   0.102517E+01   0.236464E+02   0.234022E+07   0.203084E+04
   227   0.571016E+04   0.105881E+01   0.253078E+02   0.232955E+07   0.201440E+04
   228   0.570579E+04   0.109423E+01   0.269760E+02   0.231896E+07   0.199810E+04
   229   0.570080E+04   0.113145E+01   0.286503E+02   0.230845E+07   0.198193E+04
   230   0.569520E+04   0.117050E+01   0.303302E+02   0.229802E+07   0.196588E+04
   231   0.568897E+04   0.121141E+01   0.320148E+02   0.228766E+07   0.194996E+04
